vx,vy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,label
-27.5,-14,-8,1.5,42.5,47,25,23,15,7,1,-6.25,-26,-27.25,-20.25,-7.25,-16.75,-21,-25,-43.5,-29.5,-16,0,15,25,21,29.5,24,19.25,12,10.5,1.75,o
-39,-23,-5,12,30,28,32,36,22,21,9,-0.75,-25.25,-52.5,-43,-2.5,-14,-45,-49,-42,-26,-12,0,10,14,39,54,47.75,36.5,5.75,-6.5,-0.5,o
-33,-26.5,-8.5,0,4,27,31,43,31,32,22.5,1.5,-10,-27.5,-38.875,-15.625,-4,-34.5,-55.5,-50,-32,-19,-9,-2,6,28.5,48,47,29.5,28,23.875,6.125,o
-42,-33,-21.5,2.5,27,35,44,49,26,5,0,-9.5,-17.5,-23,-25.25,-6.75,-18,-37,-72.5,-52.5,-32,-14,-5.5,16.5,32,34.5,32.5,34,28.5,20.5,15,5,o
-47,-27,-5,0,14.5,46,57.5,33.5,34,12,0.5,-5,-20.25,-32.75,-35,-5,-20.75,-42,-40,-39,-41,-31.5,-8.5,2,26.5,36.5,51.75,44.25,63.75,27.25,3,0,o
-58.5,-36.5,-22,-9,-0.75,28.75,37.5,42,47,35.25,25.25,10.5,2.5,-5.25,-31.625,-29.125,-8.5,-29,-44,-46.5,-38.5,-44,-24.5,-10,1.5,26,41.5,38,37.25,38,36.625,12.125,o
-45.5,-33,-16,-10,-2,11.5,27.5,32,34,55.75,29.25,4,0,-5.5,-39.5,-18,0,-18.5,-27,-30,-58,-41,-31.5,-10.5,0,17,51,35,40,37,31.125,2.875,o
-33.5,-37,-35,-19.5,-2.5,12,28,34,40.5,47.5,35.5,13.5,0,-10.5,-37.5,-10,1.5,-1.5,-23,-43.5,-51,-49.5,-32.5,-17,-3.5,6,36.5,47,48.5,48.5,26.75,3.25,o
-40,-38,-23.5,-8,-2,1.5,14.5,31,55.5,43,31.5,20,3,-19.5,-41.5,-11,2,-3.5,-22.5,-31,-36.5,-47,-42.5,-32.25,-13.5,14.25,28.5,40.5,61.25,46.25,24,4,o
-48.25,-31,-13,-3,0,11.5,29.5,50,55,34,14,5,0,-7.5,-38,-25.5,-0.5,-21.5,-39,-33,-40,-50.5,-33.5,-16,4,22,37,40,38.5,44,33.75,9.75,o
